App,SHA,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
Junit-team/junit4,cceaf19c554f9c0bcd51223ad99fc77f31f9e877,RepeatedTest.java,C:\Users\luana\Documents\ICSME-Tool\clone\Junit-team\junit4\src\main\java\junit\extensions\RepeatedTest.java,,,,3,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0
Junit-team/junit4,cceaf19c554f9c0bcd51223ad99fc77f31f9e877,TestDecorator.java,C:\Users\luana\Documents\ICSME-Tool\clone\Junit-team\junit4\src\main\java\junit\extensions\TestDecorator.java,,,,5,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0
Junit-team/junit4,cceaf19c554f9c0bcd51223ad99fc77f31f9e877,TestSetup.java,C:\Users\luana\Documents\ICSME-Tool\clone\Junit-team\junit4\src\main\java\junit\extensions\TestSetup.java,,,,3,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0
Junit-team/junit4,cceaf19c554f9c0bcd51223ad99fc77f31f9e877,Test.java,C:\Users\luana\Documents\ICSME-Tool\clone\Junit-team\junit4\src\main\java\junit\framework\Test.java,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0
Junit-team/junit4,cceaf19c554f9c0bcd51223ad99fc77f31f9e877,TestCase.java,C:\Users\luana\Documents\ICSME-Tool\clone\Junit-team\junit4\src\main\java\junit\framework\TestCase.java,,,,49,0,0,2,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0
Junit-team/junit4,cceaf19c554f9c0bcd51223ad99fc77f31f9e877,TestFailure.java,C:\Users\luana\Documents\ICSME-Tool\clone\Junit-team\junit4\src\main\java\junit\framework\TestFailure.java,C:\Users\luana\Documents\ICSME-Tool\clone\Junit-team\junit4\src\main\java\org\junit\runner\notification\Failure.java,,,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Junit-team/junit4,cceaf19c554f9c0bcd51223ad99fc77f31f9e877,TestListener.java,C:\Users\luana\Documents\ICSME-Tool\clone\Junit-team\junit4\src\main\java\junit\framework\TestListener.java,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0
Junit-team/junit4,cceaf19c554f9c0bcd51223ad99fc77f31f9e877,TestResult.java,C:\Users\luana\Documents\ICSME-Tool\clone\Junit-team\junit4\src\main\java\junit\framework\TestResult.java,C:\Users\luana\Documents\ICSME-Tool\clone\Junit-team\junit4\src\main\java\org\junit\runner\Result.java,,,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Junit-team/junit4,cceaf19c554f9c0bcd51223ad99fc77f31f9e877,TestSuite.java,C:\Users\luana\Documents\ICSME-Tool\clone\Junit-team\junit4\src\main\java\junit\framework\TestSuite.java,,,,19,0,0,6,0,0,0,0,0,0,0,0,0,0,,,0,3,1,0,3,0
Junit-team/junit4,cceaf19c554f9c0bcd51223ad99fc77f31f9e877,TestRunListener.java,C:\Users\luana\Documents\ICSME-Tool\clone\Junit-team\junit4\src\main\java\junit\runner\TestRunListener.java,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,6,0,0,0
