App,SHA,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
netcentric/accesscontroltool,bebeebb0fc2da714384b811926a2336e816b0404,TestUserConfigsCreator.java,C:\Users\luana\Documents\ICSME-Tool\clone\netcentric\accesscontroltool\accesscontroltool-bundle\src\main\java\biz\netcentric\cq\tools\actool\configreader\TestUserConfigsCreator.java,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0
netcentric/accesscontroltool,bebeebb0fc2da714384b811926a2336e816b0404,AceBeanInstallerIncrementalTest.java,C:\Users\luana\Documents\ICSME-Tool\clone\netcentric\accesscontroltool\accesscontroltool-bundle\src\test\java\biz\netcentric\cq\tools\actool\aceinstaller\AceBeanInstallerIncrementalTest.java,C:\Users\luana\Documents\ICSME-Tool\clone\netcentric\accesscontroltool\accesscontroltool-bundle\src\main\java\biz\netcentric\cq\tools\actool\aceinstaller\AceBeanInstallerIncremental.java,,,12,3,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,4,0,0,7,0
netcentric/accesscontroltool,bebeebb0fc2da714384b811926a2336e816b0404,AuthorizableInstallerServiceImplTest.java,C:\Users\luana\Documents\ICSME-Tool\clone\netcentric\accesscontroltool\accesscontroltool-bundle\src\test\java\biz\netcentric\cq\tools\actool\authorizableinstaller\impl\AuthorizableInstallerServiceImplTest.java,C:\Users\luana\Documents\ICSME-Tool\clone\netcentric\accesscontroltool\accesscontroltool-bundle\src\main\java\biz\netcentric\cq\tools\actool\authorizableinstaller\impl\AuthorizableInstallerServiceImpl.java,,,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0
netcentric/accesscontroltool,bebeebb0fc2da714384b811926a2336e816b0404,AcePermissionComparatorTest.java,C:\Users\luana\Documents\ICSME-Tool\clone\netcentric\accesscontroltool\accesscontroltool-bundle\src\test\java\biz\netcentric\cq\tools\actool\comparators\AcePermissionComparatorTest.java,C:\Users\luana\Documents\ICSME-Tool\clone\netcentric\accesscontroltool\accesscontroltool-bundle\src\main\java\biz\netcentric\cq\tools\actool\comparators\AcePermissionComparator.java,,,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
netcentric/accesscontroltool,bebeebb0fc2da714384b811926a2336e816b0404,AuthorizablesConfigTest.java,C:\Users\luana\Documents\ICSME-Tool\clone\netcentric\accesscontroltool\accesscontroltool-bundle\src\test\java\biz\netcentric\cq\tools\actool\configmodel\AuthorizablesConfigTest.java,C:\Users\luana\Documents\ICSME-Tool\clone\netcentric\accesscontroltool\accesscontroltool-bundle\src\main\java\biz\netcentric\cq\tools\actool\configmodel\AuthorizablesConfig.java,,,6,2,0,0,0,0,0,0,0,0,0,0,0,0,2,8,1,0,0,0,3,0
netcentric/accesscontroltool,bebeebb0fc2da714384b811926a2336e816b0404,KeyTest.java,C:\Users\luana\Documents\ICSME-Tool\clone\netcentric\accesscontroltool\accesscontroltool-bundle\src\test\java\biz\netcentric\cq\tools\actool\configmodel\KeyTest.java,C:\Users\luana\Documents\ICSME-Tool\clone\netcentric\accesscontroltool\accesscontroltool-bundle\src\main\java\biz\netcentric\cq\tools\actool\configmodel\Key.java,,,7,0,0,0,0,0,5,0,0,0,0,0,0,0,5,9,0,1,2,0,5,0
netcentric/accesscontroltool,bebeebb0fc2da714384b811926a2336e816b0404,ConfigFilesRetrieverImplTest.java,C:\Users\luana\Documents\ICSME-Tool\clone\netcentric\accesscontroltool\accesscontroltool-bundle\src\test\java\biz\netcentric\cq\tools\actool\configreader\ConfigFilesRetrieverImplTest.java,C:\Users\luana\Documents\ICSME-Tool\clone\netcentric\accesscontroltool\accesscontroltool-bundle\src\main\java\biz\netcentric\cq\tools\actool\configreader\ConfigFilesRetrieverImpl.java,,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
netcentric/accesscontroltool,bebeebb0fc2da714384b811926a2336e816b0404,TestAceBean.java,C:\Users\luana\Documents\ICSME-Tool\clone\netcentric\accesscontroltool\accesscontroltool-bundle\src\test\java\biz\netcentric\cq\tools\actool\configreader\TestAceBean.java,C:\Users\luana\Documents\ICSME-Tool\clone\netcentric\accesscontroltool\accesscontroltool-bundle\src\main\java\biz\netcentric\cq\tools\actool\configmodel\AceBean.java,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
netcentric/accesscontroltool,bebeebb0fc2da714384b811926a2336e816b0404,TestAuthorizableConfigBean.java,C:\Users\luana\Documents\ICSME-Tool\clone\netcentric\accesscontroltool\accesscontroltool-bundle\src\test\java\biz\netcentric\cq\tools\actool\configreader\TestAuthorizableConfigBean.java,C:\Users\luana\Documents\ICSME-Tool\clone\netcentric\accesscontroltool\accesscontroltool-bundle\src\main\java\biz\netcentric\cq\tools\actool\configmodel\AuthorizableConfigBean.java,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
netcentric/accesscontroltool,bebeebb0fc2da714384b811926a2336e816b0404,TestUserConfigsCreatorTest.java,C:\Users\luana\Documents\ICSME-Tool\clone\netcentric\accesscontroltool\accesscontroltool-bundle\src\test\java\biz\netcentric\cq\tools\actool\configreader\TestUserConfigsCreatorTest.java,C:\Users\luana\Documents\ICSME-Tool\clone\netcentric\accesscontroltool\accesscontroltool-bundle\src\main\java\biz\netcentric\cq\tools\actool\configreader\TestUserConfigsCreator.java,,,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
netcentric/accesscontroltool,bebeebb0fc2da714384b811926a2336e816b0404,TestYamlConfigReader.java,C:\Users\luana\Documents\ICSME-Tool\clone\netcentric\accesscontroltool\accesscontroltool-bundle\src\test\java\biz\netcentric\cq\tools\actool\configreader\TestYamlConfigReader.java,C:\Users\luana\Documents\ICSME-Tool\clone\netcentric\accesscontroltool\accesscontroltool-bundle\src\main\java\biz\netcentric\cq\tools\actool\configreader\YamlConfigReader.java,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
netcentric/accesscontroltool,bebeebb0fc2da714384b811926a2336e816b0404,VirtualGroupProcessorTest.java,C:\Users\luana\Documents\ICSME-Tool\clone\netcentric\accesscontroltool\accesscontroltool-bundle\src\test\java\biz\netcentric\cq\tools\actool\configreader\VirtualGroupProcessorTest.java,C:\Users\luana\Documents\ICSME-Tool\clone\netcentric\accesscontroltool\accesscontroltool-bundle\src\main\java\biz\netcentric\cq\tools\actool\configreader\VirtualGroupProcessor.java,,,4,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0
netcentric/accesscontroltool,bebeebb0fc2da714384b811926a2336e816b0404,YamlConfigReaderTest.java,C:\Users\luana\Documents\ICSME-Tool\clone\netcentric\accesscontroltool\accesscontroltool-bundle\src\test\java\biz\netcentric\cq\tools\actool\configreader\YamlConfigReaderTest.java,C:\Users\luana\Documents\ICSME-Tool\clone\netcentric\accesscontroltool\accesscontroltool-bundle\src\main\java\biz\netcentric\cq\tools\actool\configreader\YamlConfigReader.java,,,12,2,2,0,0,0,8,0,0,0,0,0,0,0,1,5,2,1,0,0,8,0
netcentric/accesscontroltool,bebeebb0fc2da714384b811926a2336e816b0404,YamlConfigurationMergerTest.java,C:\Users\luana\Documents\ICSME-Tool\clone\netcentric\accesscontroltool\accesscontroltool-bundle\src\test\java\biz\netcentric\cq\tools\actool\configreader\YamlConfigurationMergerTest.java,C:\Users\luana\Documents\ICSME-Tool\clone\netcentric\accesscontroltool\accesscontroltool-bundle\src\main\java\biz\netcentric\cq\tools\actool\configreader\YamlConfigurationMerger.java,,,8,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
