App,SHA,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
Junit-team/junit4,cceaf19c554f9c0bcd51223ad99fc77f31f9e877,AllTests.java,/root/clone/Junit-team/junit4/src/test/java/junit/tests/AllTests.java,,src/test/java/junit/tests/AllTests.java,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0
Junit-team/junit4,cceaf19c554f9c0bcd51223ad99fc77f31f9e877,TestImplementorTest.java,/root/clone/Junit-team/junit4/src/test/java/junit/tests/framework/TestImplementorTest.java,,src/test/java/junit/tests/framework/TestImplementorTest.java,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1,0
Junit-team/junit4,cceaf19c554f9c0bcd51223ad99fc77f31f9e877,DoublePrecisionAssertTest.java,/root/clone/Junit-team/junit4/src/test/java/junit/tests/framework/DoublePrecisionAssertTest.java,,src/test/java/junit/tests/framework/DoublePrecisionAssertTest.java,,7,4,0,0,0,0,4,0,0,0,0,0,0,0,,,0,0,0,0,7,0
Junit-team/junit4,cceaf19c554f9c0bcd51223ad99fc77f31f9e877,AllTests.java,/root/clone/Junit-team/junit4/src/test/java/junit/tests/framework/AllTests.java,,src/test/java/junit/tests/framework/AllTests.java,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0
Junit-team/junit4,cceaf19c554f9c0bcd51223ad99fc77f31f9e877,NoArgTestCaseTest.java,/root/clone/Junit-team/junit4/src/test/java/junit/tests/framework/NoArgTestCaseTest.java,,src/test/java/junit/tests/framework/NoArgTestCaseTest.java,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,1,0,0,1,0
Junit-team/junit4,cceaf19c554f9c0bcd51223ad99fc77f31f9e877,ComparisonCompactorTest.java,/root/clone/Junit-team/junit4/src/test/java/junit/tests/framework/ComparisonCompactorTest.java,,src/test/java/junit/tests/framework/ComparisonCompactorTest.java,,19,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,19,0
Junit-team/junit4,cceaf19c554f9c0bcd51223ad99fc77f31f9e877,AssertTest.java,/root/clone/Junit-team/junit4/src/test/java/junit/tests/framework/AssertTest.java,,src/test/java/junit/tests/framework/AssertTest.java,,16,13,0,0,0,0,14,0,0,0,10,2,0,0,,,0,0,0,0,16,0
Junit-team/junit4,cceaf19c554f9c0bcd51223ad99fc77f31f9e877,TestListenerTest.java,/root/clone/Junit-team/junit4/src/test/java/junit/tests/framework/TestListenerTest.java,,src/test/java/junit/tests/framework/TestListenerTest.java,,8,3,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3,0
Junit-team/junit4,cceaf19c554f9c0bcd51223ad99fc77f31f9e877,SuiteTest.java,/root/clone/Junit-team/junit4/src/test/java/junit/tests/framework/SuiteTest.java,,src/test/java/junit/tests/framework/SuiteTest.java,,13,6,0,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,11,0
Junit-team/junit4,cceaf19c554f9c0bcd51223ad99fc77f31f9e877,FloatAssertTest.java,/root/clone/Junit-team/junit4/src/test/java/junit/tests/framework/FloatAssertTest.java,,src/test/java/junit/tests/framework/FloatAssertTest.java,,8,5,0,0,0,0,5,0,0,0,0,0,0,0,,,0,0,0,0,8,0
