App,SHA,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
captain-p-goldfish/scim-for-keycloak,83aea3e1294686435beb1780798de722603ed31e,LocalFrontendTests.java,/root/clone/captain-p-goldfish/scim-for-keycloak/scim-for-keycloak-frontend-integration-tests/src/test/java/de/captaingoldfish/scim/sdk/keycloak/tests/LocalFrontendTests.java,,scim-for-keycloak-frontend-integration-tests/src/test/java/de/captaingoldfish/scim/sdk/keycloak/tests/LocalFrontendTests.java,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0
captain-p-goldfish/scim-for-keycloak,83aea3e1294686435beb1780798de722603ed31e,DockerFrontendTests.java,/root/clone/captain-p-goldfish/scim-for-keycloak/scim-for-keycloak-frontend-integration-tests/src/test/java/de/captaingoldfish/scim/sdk/keycloak/tests/DockerFrontendTests.java,,scim-for-keycloak-frontend-integration-tests/src/test/java/de/captaingoldfish/scim/sdk/keycloak/tests/DockerFrontendTests.java,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0
captain-p-goldfish/scim-for-keycloak,83aea3e1294686435beb1780798de722603ed31e,FrontendTests.java,/root/clone/captain-p-goldfish/scim-for-keycloak/scim-for-keycloak-frontend-integration-tests/src/test/java/de/captaingoldfish/scim/sdk/keycloak/tests/FrontendTests.java,,scim-for-keycloak-frontend-integration-tests/src/test/java/de/captaingoldfish/scim/sdk/keycloak/tests/FrontendTests.java,,4,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,1,0
captain-p-goldfish/scim-for-keycloak,83aea3e1294686435beb1780798de722603ed31e,TestSetup.java,/root/clone/captain-p-goldfish/scim-for-keycloak/scim-for-keycloak-frontend-integration-tests/src/test/java/de/captaingoldfish/scim/sdk/keycloak/tests/setup/TestSetup.java,,scim-for-keycloak-frontend-integration-tests/src/test/java/de/captaingoldfish/scim/sdk/keycloak/tests/setup/TestSetup.java,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0
captain-p-goldfish/scim-for-keycloak,83aea3e1294686435beb1780798de722603ed31e,ThemeTest.java,/root/clone/captain-p-goldfish/scim-for-keycloak/scim-for-keycloak-server/src/test/java/de/captaingoldfish/scim/sdk/keycloak/themes/ThemeTest.java,,scim-for-keycloak-server/src/test/java/de/captaingoldfish/scim/sdk/keycloak/themes/ThemeTest.java,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1,0
captain-p-goldfish/scim-for-keycloak,83aea3e1294686435beb1780798de722603ed31e,ScimResourceTypeEntityTest.java,/root/clone/captain-p-goldfish/scim-for-keycloak/scim-for-keycloak-server/src/test/java/de/captaingoldfish/scim/sdk/keycloak/entities/ScimResourceTypeEntityTest.java,,scim-for-keycloak-server/src/test/java/de/captaingoldfish/scim/sdk/keycloak/entities/ScimResourceTypeEntityTest.java,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,,,2,0,0,0,3,0
captain-p-goldfish/scim-for-keycloak,83aea3e1294686435beb1780798de722603ed31e,ScimConfigurationTest.java,/root/clone/captain-p-goldfish/scim-for-keycloak/scim-for-keycloak-server/src/test/java/de/captaingoldfish/scim/sdk/keycloak/scim/ScimConfigurationTest.java,,scim-for-keycloak-server/src/test/java/de/captaingoldfish/scim/sdk/keycloak/scim/ScimConfigurationTest.java,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,2,0,0,2,0
captain-p-goldfish/scim-for-keycloak,83aea3e1294686435beb1780798de722603ed31e,AbstractScimEndpointTest.java,/root/clone/captain-p-goldfish/scim-for-keycloak/scim-for-keycloak-server/src/test/java/de/captaingoldfish/scim/sdk/keycloak/scim/AbstractScimEndpointTest.java,,scim-for-keycloak-server/src/test/java/de/captaingoldfish/scim/sdk/keycloak/scim/AbstractScimEndpointTest.java,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0
captain-p-goldfish/scim-for-keycloak,83aea3e1294686435beb1780798de722603ed31e,GroupHandlerTest.java,/root/clone/captain-p-goldfish/scim-for-keycloak/scim-for-keycloak-server/src/test/java/de/captaingoldfish/scim/sdk/keycloak/scim/handler/GroupHandlerTest.java,,scim-for-keycloak-server/src/test/java/de/captaingoldfish/scim/sdk/keycloak/scim/handler/GroupHandlerTest.java,,10,8,0,0,0,0,0,0,0,0,0,1,0,1,,,3,0,0,0,10,0
captain-p-goldfish/scim-for-keycloak,83aea3e1294686435beb1780798de722603ed31e,RealmRoleHandlerTest.java,/root/clone/captain-p-goldfish/scim-for-keycloak/scim-for-keycloak-server/src/test/java/de/captaingoldfish/scim/sdk/keycloak/scim/handler/RealmRoleHandlerTest.java,,scim-for-keycloak-server/src/test/java/de/captaingoldfish/scim/sdk/keycloak/scim/handler/RealmRoleHandlerTest.java,,5,5,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,5,0
