App,SHA,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
cloudbees/zendesk-java-client,df3a82a5744e7ea719bae67aeb9f3aafa935dc4a,TemplateUriTest.java,/root/clone/cloudbees/zendesk-java-client/src/test/java/org/zendesk/client/v2/TemplateUriTest.java,,src/test/java/org/zendesk/client/v2/TemplateUriTest.java,,4,0,0,0,0,0,1,0,0,0,0,4,0,0,,,0,0,0,0,4,0
cloudbees/zendesk-java-client,df3a82a5744e7ea719bae67aeb9f3aafa935dc4a,UserTest.java,/root/clone/cloudbees/zendesk-java-client/src/test/java/org/zendesk/client/v2/UserTest.java,,src/test/java/org/zendesk/client/v2/UserTest.java,,4,1,0,0,0,0,2,0,0,0,0,0,0,0,,,0,0,0,0,2,0
cloudbees/zendesk-java-client,df3a82a5744e7ea719bae67aeb9f3aafa935dc4a,ContentTagsTest.java,/root/clone/cloudbees/zendesk-java-client/src/test/java/org/zendesk/client/v2/ContentTagsTest.java,,src/test/java/org/zendesk/client/v2/ContentTagsTest.java,,3,0,0,0,0,0,1,0,0,0,0,0,0,0,,,0,0,0,0,1,0
cloudbees/zendesk-java-client,df3a82a5744e7ea719bae67aeb9f3aafa935dc4a,RealSmokeTest.java,/root/clone/cloudbees/zendesk-java-client/src/test/java/org/zendesk/client/v2/RealSmokeTest.java,,src/test/java/org/zendesk/client/v2/RealSmokeTest.java,,122,51,61,0,0,0,95,0,0,0,0,0,0,0,,,2,5,0,0,96,0
cloudbees/zendesk-java-client,df3a82a5744e7ea719bae67aeb9f3aafa935dc4a,SearchTest.java,/root/clone/cloudbees/zendesk-java-client/src/test/java/org/zendesk/client/v2/SearchTest.java,,src/test/java/org/zendesk/client/v2/SearchTest.java,,3,0,0,0,0,0,1,0,0,0,0,0,0,0,,,0,0,0,0,1,0
cloudbees/zendesk-java-client,df3a82a5744e7ea719bae67aeb9f3aafa935dc4a,TimeZoneTest.java,/root/clone/cloudbees/zendesk-java-client/src/test/java/org/zendesk/client/v2/model/TimeZoneTest.java,,src/test/java/org/zendesk/client/v2/model/TimeZoneTest.java,,3,0,0,0,0,0,1,0,0,0,0,0,0,0,,,0,0,0,0,1,0
cloudbees/zendesk-java-client,df3a82a5744e7ea719bae67aeb9f3aafa935dc4a,ActionTest.java,/root/clone/cloudbees/zendesk-java-client/src/test/java/org/zendesk/client/v2/model/ActionTest.java,,src/test/java/org/zendesk/client/v2/model/ActionTest.java,,5,2,0,0,0,0,2,0,0,0,0,1,0,0,,,0,0,0,0,3,0
cloudbees/zendesk-java-client,df3a82a5744e7ea719bae67aeb9f3aafa935dc4a,ArticleTest.java,/root/clone/cloudbees/zendesk-java-client/src/test/java/org/zendesk/client/v2/model/ArticleTest.java,,src/test/java/org/zendesk/client/v2/model/ArticleTest.java,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1,0
cloudbees/zendesk-java-client,df3a82a5744e7ea719bae67aeb9f3aafa935dc4a,EventTest.java,/root/clone/cloudbees/zendesk-java-client/src/test/java/org/zendesk/client/v2/model/EventTest.java,,src/test/java/org/zendesk/client/v2/model/EventTest.java,,6,5,0,0,0,0,0,0,0,0,0,4,0,0,,,0,0,0,0,5,0
cloudbees/zendesk-java-client,df3a82a5744e7ea719bae67aeb9f3aafa935dc4a,StatusTest.java,/root/clone/cloudbees/zendesk-java-client/src/test/java/org/zendesk/client/v2/model/StatusTest.java,,src/test/java/org/zendesk/client/v2/model/StatusTest.java,,2,0,0,0,0,0,2,0,0,0,0,0,0,0,,,0,0,0,0,2,0
