App,SHA,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
demoiselle/framework,62021fb3299ec6b7e28261caf166e0860c042c03,TemplateTest.java,/root/clone/demoiselle/framework/impl/core/src/test/java/template/TemplateTest.java,,impl/core/src/test/java/template/TemplateTest.java,,8,3,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,5,0
demoiselle/framework,62021fb3299ec6b7e28261caf166e0860c042c03,ConfigurationResourceTest.java,/root/clone/demoiselle/framework/impl/core/src/test/java/configuration/resource/ConfigurationResourceTest.java,,impl/core/src/test/java/configuration/resource/ConfigurationResourceTest.java,,5,4,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,4,0
demoiselle/framework,62021fb3299ec6b7e28261caf166e0860c042c03,ConfigurationBeanValidationFieldTest.java,/root/clone/demoiselle/framework/impl/core/src/test/java/configuration/field/beanvalidation/ConfigurationBeanValidationFieldTest.java,,impl/core/src/test/java/configuration/field/beanvalidation/ConfigurationBeanValidationFieldTest.java,,6,5,0,0,0,0,3,0,0,0,0,0,0,0,,,2,0,0,0,5,0
demoiselle/framework,62021fb3299ec6b7e28261caf166e0860c042c03,ConfigurationMapFieldTest.java,/root/clone/demoiselle/framework/impl/core/src/test/java/configuration/field/map/ConfigurationMapFieldTest.java,,impl/core/src/test/java/configuration/field/map/ConfigurationMapFieldTest.java,,5,4,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,4,0
demoiselle/framework,62021fb3299ec6b7e28261caf166e0860c042c03,ConfigurationArrayFieldTest.java,/root/clone/demoiselle/framework/impl/core/src/test/java/configuration/field/array/ConfigurationArrayFieldTest.java,,impl/core/src/test/java/configuration/field/array/ConfigurationArrayFieldTest.java,,10,7,0,0,0,0,3,0,0,0,0,0,0,0,,,1,0,0,0,9,0
demoiselle/framework,62021fb3299ec6b7e28261caf166e0860c042c03,ConfigurationIgnoredFieldTest.java,/root/clone/demoiselle/framework/impl/core/src/test/java/configuration/field/ignored/ConfigurationIgnoredFieldTest.java,,impl/core/src/test/java/configuration/field/ignored/ConfigurationIgnoredFieldTest.java,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1,0
demoiselle/framework,62021fb3299ec6b7e28261caf166e0860c042c03,ConfigurationNamedFieldTest.java,/root/clone/demoiselle/framework/impl/core/src/test/java/configuration/field/named/ConfigurationNamedFieldTest.java,,impl/core/src/test/java/configuration/field/named/ConfigurationNamedFieldTest.java,,5,4,0,0,0,0,1,0,0,0,0,0,0,0,,,1,0,0,0,4,0
demoiselle/framework,62021fb3299ec6b7e28261caf166e0860c042c03,ConfigurationEnumValueTest.java,/root/clone/demoiselle/framework/impl/core/src/test/java/configuration/field/enumeration/ConfigurationEnumValueTest.java,,impl/core/src/test/java/configuration/field/enumeration/ConfigurationEnumValueTest.java,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2,0
demoiselle/framework,62021fb3299ec6b7e28261caf166e0860c042c03,ConfigurationCustomFieldTest.java,/root/clone/demoiselle/framework/impl/core/src/test/java/configuration/field/custom/ConfigurationCustomFieldTest.java,,impl/core/src/test/java/configuration/field/custom/ConfigurationCustomFieldTest.java,,3,1,0,0,0,0,1,0,0,0,0,0,0,0,,,0,0,0,0,2,0
demoiselle/framework,62021fb3299ec6b7e28261caf166e0860c042c03,ConfigurationClassFieldTest.java,/root/clone/demoiselle/framework/impl/core/src/test/java/configuration/field/clazz/ConfigurationClassFieldTest.java,,impl/core/src/test/java/configuration/field/clazz/ConfigurationClassFieldTest.java,,8,4,0,0,0,0,4,0,0,0,0,0,0,0,,,0,0,0,0,7,0
