App,SHA,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
googlecloudplatform/pubsub,e7e3a6e8a178d20f883fa6dc58a63056c1d3ef44,CloudPubSubSourceConnectorTest.java,/root/clone/googlecloudplatform/pubsub/kafka-connector/src/test/java/com/google/pubsub/kafka/source/CloudPubSubSourceConnectorTest.java,,kafka-connector/src/test/java/com/google/pubsub/kafka/source/CloudPubSubSourceConnectorTest.java,,5,1,1,0,0,0,0,2,0,0,0,0,0,0,,,0,0,0,0,4,0
googlecloudplatform/pubsub,e7e3a6e8a178d20f883fa6dc58a63056c1d3ef44,StreamingPullSubscriberTest.java,/root/clone/googlecloudplatform/pubsub/kafka-connector/src/test/java/com/google/pubsub/kafka/source/StreamingPullSubscriberTest.java,,kafka-connector/src/test/java/com/google/pubsub/kafka/source/StreamingPullSubscriberTest.java,,13,8,0,0,0,0,5,0,0,0,0,0,0,1,,,0,1,0,0,11,0
googlecloudplatform/pubsub,e7e3a6e8a178d20f883fa6dc58a63056c1d3ef44,CloudPubSubSourceTaskTest.java,/root/clone/googlecloudplatform/pubsub/kafka-connector/src/test/java/com/google/pubsub/kafka/source/CloudPubSubSourceTaskTest.java,,kafka-connector/src/test/java/com/google/pubsub/kafka/source/CloudPubSubSourceTaskTest.java,,19,3,0,0,0,0,16,0,0,0,0,0,0,0,,,1,0,0,0,16,0
googlecloudplatform/pubsub,e7e3a6e8a178d20f883fa6dc58a63056c1d3ef44,AckBatchingSubscriberTest.java,/root/clone/googlecloudplatform/pubsub/kafka-connector/src/test/java/com/google/pubsub/kafka/source/AckBatchingSubscriberTest.java,,kafka-connector/src/test/java/com/google/pubsub/kafka/source/AckBatchingSubscriberTest.java,,7,2,0,0,0,0,1,0,0,0,0,0,0,0,,,1,2,0,0,4,0
googlecloudplatform/pubsub,e7e3a6e8a178d20f883fa6dc58a63056c1d3ef44,CloudPubSubSinkTaskTest.java,/root/clone/googlecloudplatform/pubsub/kafka-connector/src/test/java/com/google/pubsub/kafka/sink/CloudPubSubSinkTaskTest.java,,kafka-connector/src/test/java/com/google/pubsub/kafka/sink/CloudPubSubSinkTaskTest.java,,25,1,1,0,0,0,6,8,0,1,0,0,0,0,,,0,3,0,0,20,0
googlecloudplatform/pubsub,e7e3a6e8a178d20f883fa6dc58a63056c1d3ef44,CloudPubSubSinkConnectorTest.java,/root/clone/googlecloudplatform/pubsub/kafka-connector/src/test/java/com/google/pubsub/kafka/sink/CloudPubSubSinkConnectorTest.java,,kafka-connector/src/test/java/com/google/pubsub/kafka/sink/CloudPubSubSinkConnectorTest.java,,3,1,1,0,0,0,0,1,0,0,0,0,0,0,,,0,0,0,0,2,0
googlecloudplatform/pubsub,e7e3a6e8a178d20f883fa6dc58a63056c1d3ef44,PollerImplTest.java,/root/clone/googlecloudplatform/pubsub/kafka-connector/src/test/java/com/google/pubsublite/kafka/source/PollerImplTest.java,,kafka-connector/src/test/java/com/google/pubsublite/kafka/source/PollerImplTest.java,,7,2,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,5,0
googlecloudplatform/pubsub,e7e3a6e8a178d20f883fa6dc58a63056c1d3ef44,PubSubLiteSourceTaskTest.java,/root/clone/googlecloudplatform/pubsub/kafka-connector/src/test/java/com/google/pubsublite/kafka/source/PubSubLiteSourceTaskTest.java,,kafka-connector/src/test/java/com/google/pubsublite/kafka/source/PubSubLiteSourceTaskTest.java,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2,0
googlecloudplatform/pubsub,e7e3a6e8a178d20f883fa6dc58a63056c1d3ef44,PubSubLiteSinkTaskTest.java,/root/clone/googlecloudplatform/pubsub/kafka-connector/src/test/java/com/google/pubsublite/kafka/sink/PubSubLiteSinkTaskTest.java,,kafka-connector/src/test/java/com/google/pubsublite/kafka/sink/PubSubLiteSinkTaskTest.java,,11,0,0,0,0,0,2,0,0,0,0,0,0,0,,,0,6,0,0,9,0
googlecloudplatform/pubsub,e7e3a6e8a178d20f883fa6dc58a63056c1d3ef44,SchemasTest.java,/root/clone/googlecloudplatform/pubsub/kafka-connector/src/test/java/com/google/pubsublite/kafka/sink/SchemasTest.java,,kafka-connector/src/test/java/com/google/pubsublite/kafka/sink/SchemasTest.java,,8,1,2,0,0,0,1,0,0,0,0,0,0,0,,,0,0,0,0,5,0
