App,SHA,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
retgal/dayon,c0b7dfc32a1eae32b1d0cd12a27c7cb31d110d89,AssistantRunnerTest.java,/root/clone/retgal/dayon/src/test/java/mpo/dayon/assistant/AssistantRunnerTest.java,,src/test/java/mpo/dayon/assistant/AssistantRunnerTest.java,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0
retgal/dayon,c0b7dfc32a1eae32b1d0cd12a27c7cb31d110d89,NetworkUtilitiesTest.java,/root/clone/retgal/dayon/src/test/java/mpo/dayon/assistant/utils/NetworkUtilitiesTest.java,,src/test/java/mpo/dayon/assistant/utils/NetworkUtilitiesTest.java,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0
retgal/dayon,c0b7dfc32a1eae32b1d0cd12a27c7cb31d110d89,ControlEngineTest.java,/root/clone/retgal/dayon/src/test/java/mpo/dayon/assistant/control/ControlEngineTest.java,,src/test/java/mpo/dayon/assistant/control/ControlEngineTest.java,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0
retgal/dayon,c0b7dfc32a1eae32b1d0cd12a27c7cb31d110d89,NetworkAssistantEngineTest.java,/root/clone/retgal/dayon/src/test/java/mpo/dayon/assistant/network/NetworkAssistantEngineTest.java,,src/test/java/mpo/dayon/assistant/network/NetworkAssistantEngineTest.java,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,2,0,0,0
retgal/dayon,c0b7dfc32a1eae32b1d0cd12a27c7cb31d110d89,AssistedRunnerTest.java,/root/clone/retgal/dayon/src/test/java/mpo/dayon/assisted/AssistedRunnerTest.java,,src/test/java/mpo/dayon/assisted/AssistedRunnerTest.java,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0
retgal/dayon,c0b7dfc32a1eae32b1d0cd12a27c7cb31d110d89,RobotNetworkControlMessageHandlerTest.java,/root/clone/retgal/dayon/src/test/java/mpo/dayon/assisted/control/RobotNetworkControlMessageHandlerTest.java,,src/test/java/mpo/dayon/assisted/control/RobotNetworkControlMessageHandlerTest.java,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,8,0,0,0
retgal/dayon,c0b7dfc32a1eae32b1d0cd12a27c7cb31d110d89,AssistedTest.java,/root/clone/retgal/dayon/src/test/java/mpo/dayon/assisted/gui/AssistedTest.java,,src/test/java/mpo/dayon/assisted/gui/AssistedTest.java,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0
retgal/dayon,c0b7dfc32a1eae32b1d0cd12a27c7cb31d110d89,NetworkAssistedEngineTest.java,/root/clone/retgal/dayon/src/test/java/mpo/dayon/assisted/network/NetworkAssistedEngineTest.java,,src/test/java/mpo/dayon/assisted/network/NetworkAssistedEngineTest.java,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,2,0,0,0
retgal/dayon,c0b7dfc32a1eae32b1d0cd12a27c7cb31d110d89,ListenersTest.java,/root/clone/retgal/dayon/src/test/java/mpo/dayon/common/event/ListenersTest.java,,src/test/java/mpo/dayon/common/event/ListenersTest.java,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0
retgal/dayon,c0b7dfc32a1eae32b1d0cd12a27c7cb31d110d89,BitCounterTest.java,/root/clone/retgal/dayon/src/test/java/mpo/dayon/common/monitoring/counter/BitCounterTest.java,,src/test/java/mpo/dayon/common/monitoring/counter/BitCounterTest.java,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0
retgal/dayon,c0b7dfc32a1eae32b1d0cd12a27c7cb31d110d89,TileCounterTest.java,/root/clone/retgal/dayon/src/test/java/mpo/dayon/common/monitoring/counter/TileCounterTest.java,,src/test/java/mpo/dayon/common/monitoring/counter/TileCounterTest.java,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0
retgal/dayon,c0b7dfc32a1eae32b1d0cd12a27c7cb31d110d89,CaptureCompressionCounterTest.java,/root/clone/retgal/dayon/src/test/java/mpo/dayon/common/monitoring/counter/CaptureCompressionCounterTest.java,,src/test/java/mpo/dayon/common/monitoring/counter/CaptureCompressionCounterTest.java,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0
retgal/dayon,c0b7dfc32a1eae32b1d0cd12a27c7cb31d110d89,FileUtilitiesTest.java,/root/clone/retgal/dayon/src/test/java/mpo/dayon/common/utils/FileUtilitiesTest.java,,src/test/java/mpo/dayon/common/utils/FileUtilitiesTest.java,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0
retgal/dayon,c0b7dfc32a1eae32b1d0cd12a27c7cb31d110d89,SystemUtilitiesTest.java,/root/clone/retgal/dayon/src/test/java/mpo/dayon/common/utils/SystemUtilitiesTest.java,,src/test/java/mpo/dayon/common/utils/SystemUtilitiesTest.java,,13,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0
retgal/dayon,c0b7dfc32a1eae32b1d0cd12a27c7cb31d110d89,UnitUtilitiesTest.java,/root/clone/retgal/dayon/src/test/java/mpo/dayon/common/utils/UnitUtilitiesTest.java,,src/test/java/mpo/dayon/common/utils/UnitUtilitiesTest.java,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0
